name,type
Shaffer,person
Natali Tene,person
Sergey Brin,person
Farley,person
Knight,person
Michael Milken,person
Chris Lynch,person
Ginsburg,person
Mifsud,person
Rielle Hunter,person
Personably,person
Robin Hayes,person
Meredith Attwell Baker,person
Minami Tamaki,person
Ike Perlmutter,person
Yuri Milner,person
Ryan,person
Christian Perez,person
Lisa La Bonte,person
Stina Ehrensvard,person
Java,person
Creighton,person
Su,person
Lane,person
Renee Wang,person
Amaysim,person
Keker,person
Seinfeld,person
Hock Tan,person
Richard Nixon,person
Kristen Lemkau,person
Jeff Jones,person
Bracken Darrell,person
Evan Jenkins,person
Guy Podjarny,person
Jina Choi,person
Mary Rich,person
Steven Wagner,person
Simon Watts,person
Nazer,person
Isaac Larian,person
David Mandelbrot,person
Brittany,person
Starboy,person
Lemonade,person
Michel Combes,person
Phillips,person
Kardashian,person
Greenberg Gross,person
Christian Magoon,person
Betaworks,person
Lance Morginn,person
Lee Gelernt,person
Aman,person
Robert Reffkin,person
Bob Lutz,person
Charles Elkan,person
Margo Georgiadis,person
Steve Collins,person
Priya Prakash,person
Angela Campbell,person
Larry Nassar,person
Davina Dixon,person
James Martin,person
Jason Fried,person
Larry Renfro,person
Dicerna,person
Manafort,person
Kristine Baker,person
John Legere,person
Eric Abramovitz,person
Patrick Cahill,person
Kenseth,person
Anton Yelchin s,person
Alan Joyce,person
Greg Carmichael,person
Harvey Weinstein s,person
Tory Bruno,person
Jose Antonio Meade,person
Carl Pei,person
"Terry ""Hulk Hogan"" Bollea",person
Siegfried Otto,person
Chris Daniels,person
Sergio Marchionne,person
Joseph,person
Herbert Slatery,person
Ms Cicco,person
Waymo,person
Helen,person
Donald J. Trump Jr.,person
Paul Weiss,person
Bill Ford,person
Amadeo Brenninkmeijer,person
Daniel Schwei,person
Roger Nolan,person
Moore,person
Rogers,person
Advertisement Davis,person
Andre Bouchard,person
Danny Zhang,person
Matthew Shay,person
James Ryan Burgess,person
David Koning,person
Carlos Ramirez,person
Steve Campora,person
Sacramento Bee,person
Adam A. Marshall,person
Met Gala,person
Donald Trump,person
Schroeder,person
Snowden,person
Damian Collins,person
Chad Dickerson,person
Steve Wynn Wynn,person
NYCLU,person
Laure N m e,person
Andrew M. Harris,person
Boomer Esiason,person
Andrew Breitbart,person
Lonnie Moulder,person
Alf Barrios,person
Andrew Boetjer,person
Vachata,person
Legere,person
Rawls,person
Aaron Sorkin,person
Rettig,person
Vasostrict,person
Kati Levoranta,person
Michael Overell,person
Derrick Rose,person
Colt Cabana Is,person
Jennifer Lee,person
Andy Penn,person
Sajid Javid,person
David Copperfield,person
Laurent Potdevin,person
Theresa May,person
Heather Sonn,person
Linda McKinnon Mortimer,person
Danny Goodisman,person
